location,signature,iterations,time,was_interrupted
colab,pl_lfg.ft.transformer.2.32.ah16.ak32.aq32-f53c9635,1200,02:57:50,0
colab,pl_lfg.ft.transformer.1.32.ah16.ak32.aq32-331fc8fe,1200,02:59:41,0
colab,pl_lfg.ft.transformer.1.128.ah32.ak128.aq128-5cff66a9,1200,03:07:52,0
colab,pl_lfg.ft.transformer.1.128.ah32.ak128.aq128.lr.01-5cff66a9,1200,03:26:33,0
colab,pl_lfg.ft.biLSTM.2.64-2465236c,1250,04:16:02,0
colab,pl_lfg.ft.transformer.1.128.ah32.ak64.aq64-a4bfd798,1250,03:30:19,0
colab,pl_lfg.ft.biLSTM.1.64-5ce8cb0e,1150,03:33:09,0
colab,pl_lfg.ft.transformer.1.256.ah32.ak64.aq64-424626b1,1250,03:30:20,0
colab,pl_lfg.ft.transformer.2.256.ah32.ak64.aq64-47f2782a,1250,03:51:45,0
colab,pl_lfg.ft.transformer.2.256.ah32.ak64.aq64-1996826d,2350,06:28:52,0
colab,es_gsd.transformer.1.64.ah8.ak32.aq32-e60185ef,1300,02:43:51,0
colab,es_gsd.transformer.1.128.ah32.ak64.aq64-a9edd76c,5000,06:29:01,0
colab,pl_lfg.ft.transformer.2.64.ah32.ak128.aq128-444918e1,10000,06:08:10,0
colab,pl_lfg.ft.transformer.1.128.ah32.ak128.aq128-22c77ceb,7800,04:34:20,0
colab,pl_lfg.ft.transformer.1.512.ah32.ak128.aq128-57d6483c,3200,05:52:59,0
colab,pl_lfg.ft.transformer.1.512.ah32.ak128.aq128-72b4d4ae,15600,06:22:10,1
colab,pl_lfg.ft.transformer.2.128.ah16.ak64.aq64-0594c717,19600,10:02:07,1
colab,pl_lfg.ft.biLSTM.3.64-4d9cf6eb,20000,14:47:51,0
colab,pl_lfg.ft.transformer.1.256.ah16.ak128.av128-c774af89,19200,06:47:11,1
colab,es_ancora.ft.biLSTM.3.64-a42fbdd8,7600,11:36:10,1
colab,es_ancora.ft.transformer.1.256.ah16.ak128.av128-1a57f99,2800,01:10:04,0
colab,es_ancora.ft.transformer.2.256.ah16.ak128.av128-62687ce3,9200,04:24:28,0
colab,es_ancora.ft.transformer.1.512.ah16.ak256.av256-02cd0bfe,13200,07:40:55,0
colab,es_ancora.ft.transformer.3.256.ah16.ak128.av128-de11623e,20400,10:30:42,1
colab,es_ancora.ft.transformer.3.512.ah32.ak256.av256.btch.1000-85e2a399,12000,20:33:58,1
colab,pl_lfg.ft.transformer.3.256.ah16.ak128.av128-9f8f0acc,4800,01:51:04,0
colab,pl_lfg.ft.transformer.3.256.ah16.ak128.av128.i_wonly-dc51d45d,10400,03:37:48,0
colab,pl_lfg.ft.transformer.3.256.ah16.ak128.av128-84ddc996,10400,04:45:00,0
colab,pl_lfg.ft.transformer.3.256.ah16.ak128.av128-9bffc1c3,17600,07:02:35,0
lab,pl_lfg.ft.transformer.3.256.ah16.ak128.av128-1a3472fb,6800,01:55:43,1
lab,pl_lfg.ft.transformer.3.512.ah32.ak256.av256-bbd00bcd,11600,02:40:00,1
lab,es_ancora.ft.transformer.3.512.ah32.ak256.av256-8ec45d18,10800,04:42:00,1
lab,pl_lfg.ft.biLSTM.3.256-e4dafa0d,4400,02:43:02,0
lab,pl_lfg.ft.transformer.3.512.ah32.ak256.av256-1649d016,6800,01:19:34,0
lab,pl_lfg.ft.biLSTM.2.512-cb7454cd,4800,02:03:03,0
lab,pl_lfg.ft.transformer.3.512.ah32.ak256.av256-e6b3d08f,10800,02:16:57,0
lab,pl_lfg.ft.transformer.3.512.ah32.ak256.av256-8cce3989,16000,05:04:21,0
lab,pl_lfg.ft.transformer.3.512.ah32.ak256.av256-fa12ec61,4400,00:49:13,0
lab,pl_lfg.ft.transformer.3.512.ah32.ak256.av256-76fb0a5a,9200,02:25:36,0
lab,pl_lfg.ft.transformer.2.256.ah32.ak256.av256-f8dd2fa8,12400,02:26:45,0
lab,es_ancora.ft.transformer.2.256.ah32.ak256.av256-b212f0b1,7200,03:00:04,0
lab,pl_lfg.ft.transformer.3.512.ah32.ak256.av256-e6d99b9e,8000,02:21:53,0
lab,pl_lfg.ft.transformer.3.256.ah32.ak256.av256-81c7af8e,8800,02:47:13,0
lab,es_ancora.ft.transformer.3.256.ah16.ak128.av128-1b4632f0,8800,04:45:10,0
lab,pl_lfg.ft.transformer.3.256.ah16.ak128.av128-80161331,27600,06:20:04,0
lab,pl_lfg.35.100.ft.transformer.3.256.ah16.ak128.av128-80161331,21200,06:22:00,1
lab,pl_lfg.35.100.ft.d0.7.transformer.3.256.ah16.ak128.av128-80161331,28000,06:38:28,0
lab,es_ancora.35.155ft.d0.7.transformer.3.256.ah16.ak128.av128-80161331,10000,04:12:55,0
lab,es_ancora.35.155ft.d0.3.transformer.3.256.ah16.ak128.av128-80161331,8400,03:31:24,0
lab,es_ancora.35.155ft.d0.3.transformer.3.256.ah4.ak128.av128-80161331,12000,04:59:33,0
lab,de_gsd.37.120.ft.d0.3.transformer.3.256.ah16.ak128.av128-80161331,11600,03:30:00,1
lab,en_ewt.35.170.ft.d0.3.transformer.3.256.ah16.ak128.av128-80161331,9200,03:01:07,0
lab,ar_padt.22.400.ft.d0.3.transformer.3.256.ah16.ak128.av128-80161331,11200,05:43:52,0
lab,cs_pdt.40.200.ft.d0.3.transformer.3.256.ah16.ak128.av128-80161331,42800,19:01:16,0
lab,pl_lfg.40.100.ft.d0.3.transformer.3.256.ah16.ak128.av128-80161331,10000,02:56:25,0
lab,pl_lfg.40.100.ft.d0.7.size_test.transformer.3.256.ah2.ak128.av128-23d8af05,8400,02:22:30,0
lab,pl_lfg.40.100.ft.d0.7.size_test.transformer.3.256.ah32.ak128.av128-23d8af05,10000,02:55:53,0
lab,pl_lfg.40.100.ft.d0.7.size_test.transformer.3.256.ah8.ak128.av128-23d8af05,19200,05:24:01,0
lab,pl_lfg.40.100.ft.d0.7.size_test.transformer.3.128.ah16.ak64.av64-23d8af05,22000,06:10:39,0
lab,pl_lfg.40.100.ft.d0.7.size_test.transformer.3.64.ah16.ak256.av256-23d8af05,29600,08:31:14,0
lab,pl_lfg.40.100.ft.d0.7.biLSTM.3.256-5139f1a5,16800,10:58:12,0
lab,no_bokmaal.75.125.ft.d0.7.transformer.3.256.ah16.ak128.av128-23d8af05,11200,03:38:40,0
lab,no_nynorsk.75.125.ft.d0.7.transformer.3.256.ah16.ak128.av128-23d8af05,10000,03:18:02,0
lab,ru_syntagrus.50.210.ft.d0.7.transformer.3.256.ah16.ak128.av128-23d8af05,29600,12:12:07,0
lab,pl_lfg.40.100.ft.d0.7.size_test.transformer.3.256.ah16.ak128.av128-23d8af05,17200,05:59:22,0
lab,pl_lfg.40.100.ft.d0.7.size_test.transformer.3.256.ah16.ak256.av256-23d8af05,20800,05:59:46,0
lab,pl_lfg.40.100.ft.d0.7.size_test.transformer.3.64.ah16.ak128.av128-23d8af05,0

